,levy,manufacturer,year,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,turbo,price
5189,1347.0,Hyundai,2008,Other,1,Diesel,2.5,200000,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,11851
5190,645.0,Toyota,2011,Hatchback,1,Hybrid,1.8,0,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,5175
5191,1282.0,Kia,2007,Jeep,1,Diesel,2.0,160487,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,5896
5192,730.0,Ssangyong,2016,Jeep,1,Diesel,1.6,68942,4.0,Automatic,Front,4-5,Left wheel,White,4,0,39750
5195,1363.0,Lexus,2012,Jeep,1,Petrol,4.6,229334,8.0,Automatic,4x4,4-5,Left wheel,Black,0,0,34811
5197,259.0,Chevrolet,2014,Hatchback,1,Hybrid,1.4,138491,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,3763
5199,1438.0,Other,2003,Other,0,Diesel,1.7,152000,4.0,Manual,Front,4-5,Left wheel,Grey,2,0,9408
5200,431.0,Bmw,2016,Jeep,1,Hybrid,2.0,73856,4.0,Automatic,4x4,4-5,Left wheel,Black,12,0,27284
5204,934.0,Toyota,2015,Jeep,0,Petrol,2.5,0,4.0,Automatic,4x4,4-5,Left wheel,Black,0,0,23521
5205,585.0,Hyundai,2013,Jeep,1,Petrol,1.8,0,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,392
5206,1202.0,Hyundai,2017,Sedan,1,Petrol,2.4,96790,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,549
5210,891.0,Hyundai,2016,Jeep,1,Diesel,2.0,42765,4.0,Automatic,Front,4-5,Left wheel,White,4,0,29144
5211,531.0,Other,2012,Jeep,1,Petrol,1.6,136712,4.0,Automatic,4x4,4-5,Left wheel,White,0,0,470
5214,781.0,Toyota,2012,Sedan,0,Hybrid,2.5,90600,4.0,Variator,Front,4-5,Left wheel,Silver,6,0,24148
5215,1111.0,Other,2013,Sedan,1,Petrol,3.7,55858,6.0,Automatic,4x4,4-5,Left wheel,Grey,12,0,392
5216,1185.0,Hyundai,2009,Minivan,1,Diesel,2.5,176878,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,15053
5217,1249.0,Other,2017,Sedan,1,Petrol,2.5,134571,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,3293
5218,1249.0,Hyundai,2017,Other,1,Diesel,2.5,129841,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,41629
5221,645.0,Toyota,2011,Coupe,1,Hybrid,1.8,229461,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,3293
5224,609.0,Toyota,2018,Sedan,1,Hybrid,2.5,127515,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,9722
5225,583.0,Hyundai,2011,Sedan,1,Petrol,1.6,127983,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,19384
5227,1091.0,Toyota,2016,Sedan,1,Petrol,2.5,151443,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,13172
5229,917.0,Bmw,2013,Jeep,1,Diesel,3.0,0,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,784
5231,1091.0,Other,2016,Jeep,0,Petrol,2.5,122918,4.0,Automatic,Front,4-5,Left wheel,Blue,8,0,20385
5234,1356.0,Lexus,2014,Jeep,1,Petrol,4.6,200402,8.0,Automatic,4x4,4-5,Left wheel,Silver,0,0,941
5235,333.0,Other,2014,Jeep,1,Hybrid,2.0,99200,4.0,Tiptronic,4x4,4-5,Left wheel,Other,12,0,31047
5236,642.0,Other,2012,Jeep,1,Petrol,2.0,307072,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,4234
5237,831.0,Honda,2011,Jeep,1,Petrol,2.4,200960,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,1176
5241,1211.0,Mercedes-Benz,2010,Jeep,1,Diesel,3.0,69000,6.0,Tiptronic,4x4,4-5,Left wheel,Black,12,1,37633
5244,1017.0,Hyundai,2017,Sedan,1,Petrol,2.0,85532,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,42987
5245,730.0,Ssangyong,2016,Jeep,1,Petrol,1.6,24846,4.0,Automatic,Front,4-5,Left wheel,White,4,0,42692
5247,1324.0,Toyota,2010,Jeep,1,Hybrid,3.3,264877,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,4861
5248,891.0,Hyundai,2016,Jeep,1,Diesel,2.0,24526,4.0,Automatic,Front,4-5,Left wheel,White,4,0,37476
5253,650.0,Chevrolet,2016,Sedan,0,Petrol,1.4,107200,4.0,Automatic,Rear,4-5,Left wheel,Black,6,1,15681
5255,629.0,Hyundai,2015,Sedan,1,Petrol,1.6,11261,4.0,Automatic,Front,4-5,Left wheel,White,4,0,27654
5256,781.0,Toyota,2012,Sedan,1,Hybrid,2.5,314373,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,392
5257,640.0,Hyundai,2013,Sedan,1,Petrol,2.0,206088,4.0,Automatic,Front,4-5,Left wheel,White,4,0,14166
5258,382.0,Chevrolet,2017,Hatchback,1,Hybrid,1.5,125358,4.0,Automatic,Front,4-5,Left wheel,Grey,0,0,188
5260,764.0,Kia,2015,Sedan,1,Petrol,2.0,64032,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,14426
5261,765.0,Hyundai,2015,Sedan,1,Other,2.0,216070,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,12231
5262,1172.0,Mercedes-Benz,2011,Jeep,1,Diesel,3.5,220323,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,157
5267,777.0,Toyota,2014,Sedan,1,Petrol,2.5,328282,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,2195
5268,915.0,Mercedes-Benz,2014,Jeep,1,Diesel,3.0,57755,6.0,Automatic,4x4,4-5,Left wheel,White,6,0,46414
5269,1537.0,Toyota,2009,Sedan,1,Hybrid,3.3,318358,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,1019
5271,779.0,Toyota,2013,Sedan,1,Hybrid,2.5,124912,4.0,Automatic,Front,4-5,Left wheel,White,12,0,3763
5273,1363.0,Mercedes-Benz,2012,Jeep,1,Diesel,4.6,180659,8.0,Automatic,4x4,4-5,Left wheel,Black,12,0,1725
5275,1470.0,Other,2013,Sedan,1,Petrol,5.0,85459,8.0,Automatic,Rear,4-5,Left wheel,Silver,12,0,627
5276,640.0,Hyundai,2013,Sedan,1,Petrol,2.0,126655,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,20883
5277,1399.0,Mercedes-Benz,2010,Sedan,1,Diesel,3.5,256914,6.0,Automatic,4x4,4-5,Left wheel,Grey,12,0,8938
5285,595.0,Ford,2015,Sedan,1,Petrol,1.5,163711,4.0,Automatic,Front,4-5,Left wheel,Black,12,1,15994
5286,640.0,Ssangyong,2013,Jeep,1,Diesel,2.0,169027,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,29075
5287,1273.0,Mercedes-Benz,2015,Jeep,1,Diesel,3.5,79080,6.0,Automatic,4x4,4-5,Left wheel,Grey,12,0,22894
5288,790.0,Other,2009,Sedan,1,Petrol,1.6,107125,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,5802
5289,966.0,Other,2009,Jeep,0,Petrol,2.0,107000,4.0,Automatic,4x4,4-5,Left wheel,Grey,8,0,9408
5292,862.0,Toyota,2011,Sedan,1,Petrol,2.5,208000,6.0,Tiptronic,4x4,4-5,Left wheel,Black,10,0,14740
5294,891.0,Hyundai,2016,Jeep,1,Diesel,2.0,145339,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,41553
5295,862.0,Other,2011,Sedan,1,Petrol,2.5,266819,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,2744
5296,629.0,Other,2015,Jeep,1,Petrol,1.6,88475,4.0,Automatic,4x4,4-5,Left wheel,White,0,0,3763
5297,919.0,Bmw,2012,Sedan,1,Petrol,3.0,124000,6.0,Tiptronic,4x4,4-5,Left wheel,White,16,1,34497
5298,779.0,Toyota,2013,Sedan,1,Petrol,2.5,102000,4.0,Tiptronic,Front,4-5,Left wheel,Blue,10,0,20385
5300,765.0,Ford,2015,Other,0,Diesel,2.0,120000,4.0,Manual,Front,4-5,Left wheel,White,2,1,30420
5302,891.0,Hyundai,2016,Sedan,1,Petrol,2.0,52000,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,22580
5303,397.0,Lexus,2016,Hatchback,1,Hybrid,1.8,71904,4.0,Automatic,Front,4-5,Left wheel,White,0,0,6743
5304,503.0,Honda,2012,Sedan,1,Hybrid,1.5,146403,4.0,Automatic,Front,4-5,Left wheel,White,0,0,2901
5305,394.0,Toyota,2014,Sedan,1,Hybrid,2.5,102397,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,784
5307,934.0,Toyota,2015,Sedan,1,Petrol,2.5,151610,4.0,Automatic,Front,4-5,Left wheel,White,12,0,7527
5308,609.0,Honda,2016,Other,1,Petrol,1.3,16714,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,30602
5309,1053.0,Other,2014,Jeep,1,Petrol,3.5,81600,6.0,Automatic,4x4,4-5,Left wheel,Grey,10,0,39201
5310,779.0,Toyota,2013,Sedan,1,Hybrid,2.5,124912,4.0,Automatic,Front,4-5,Left wheel,White,12,0,3763
5311,730.0,Ssangyong,2016,Jeep,1,Diesel,1.6,56150,4.0,Automatic,Front,4-5,Left wheel,Other,4,0,44134
5314,765.0,Hyundai,2015,Jeep,1,Diesel,2.0,161388,4.0,Automatic,Front,4-5,Left wheel,White,4,0,27827
5316,639.0,Hyundai,2014,Jeep,1,Diesel,2.0,170623,4.0,Automatic,Front,4-5,Left wheel,White,4,0,35237
5319,880.0,Hyundai,2018,Sedan,1,Petrol,1.6,54865,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,32929
5320,707.0,Hyundai,2011,Jeep,1,Diesel,2.0,129000,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,19657
5321,836.0,Hyundai,2010,Coupe,1,Petrol,2.0,170340,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,16954
5324,707.0,Ssangyong,2011,Sedan,1,Diesel,2.0,189855,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,16333
5325,1091.0,Hyundai,2016,Minivan,1,Diesel,2.5,41000,4.0,Automatic,Front,4-5,Left wheel,White,4,0,41654
5326,1024.0,Hyundai,2010,Minivan,1,Diesel,2.5,82111,4.0,Automatic,Front,4-5,Left wheel,White,4,0,19441
5327,1018.0,Mercedes-Benz,2011,Sedan,1,Diesel,3.0,273186,6.0,Automatic,Rear,4-5,Left wheel,White,12,0,9879
5328,1055.0,Mercedes-Benz,2013,Sedan,1,Petrol,3.5,140800,6.0,Automatic,4x4,4-5,Left wheel,Black,0,1,15681
5330,746.0,Toyota,2009,Hatchback,0,Hybrid,1.5,99000,4.0,Automatic,Front,4-5,Left wheel,Other,8,0,11290
5331,777.0,Lexus,2014,Sedan,1,Petrol,2.5,126021,6.0,Automatic,Rear,4-5,Left wheel,White,12,0,627
5332,1514.0,Lexus,2011,Sedan,1,Petrol,4.6,202048,8.0,Automatic,4x4,4-5,Left wheel,White,0,0,392
5333,1296.0,Toyota,2008,Sedan,1,Hybrid,2.4,171200,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,11800
5335,917.0,Other,2013,Hatchback,1,Petrol,3.0,301707,6.0,Automatic,4x4,4-5,Left wheel,Grey,0,0,4704
5337,640.0,Ford,2013,Sedan,1,Hybrid,2.0,294016,4.0,Automatic,Front,4-5,Left wheel,White,12,0,941
5338,1079.0,Toyota,2018,Jeep,1,Petrol,2.0,22816,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,2195
5341,836.0,Hyundai,2010,Coupe,1,Petrol,2.0,158663,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,16280
5342,1091.0,Hyundai,2016,Other,1,Diesel,2.5,40877,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,30326
5344,595.0,Toyota,2015,Hatchback,1,Petrol,1.5,105600,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,6
5345,1172.0,Mercedes-Benz,2011,Sedan,1,Petrol,3.5,248525,6.0,Automatic,4x4,4-5,Left wheel,Grey,12,0,11447
5348,1598.0,Mercedes-Benz,2008,Sedan,1,Diesel,3.0,175614,6.0,Automatic,Rear,4-5,Left wheel,Black,12,0,2430
5350,640.0,Chevrolet,2013,Sedan,1,Petrol,2.0,106048,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,24283
5354,1399.0,Lexus,2010,Jeep,1,Petrol,3.5,172659,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,706
5355,919.0,Mercedes-Benz,2012,Jeep,1,Diesel,3.0,271701,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,26657
5356,1017.0,Mercedes-Benz,2017,Sedan,1,Petrol,2.0,1600,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,392
5357,640.0,Ford,2013,Sedan,1,Hybrid,2.0,174619,4.0,Automatic,Front,4-5,Left wheel,Grey,0,0,282
5358,924.0,Kia,2011,Sedan,1,Petrol,2.7,68105,6.0,Automatic,Front,4-5,Left wheel,Silver,4,0,10036
5359,1018.0,Other,2011,Sedan,1,Petrol,3.0,0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,1098
5362,586.0,Toyota,2012,Other,1,Hybrid,1.8,197000,4.0,Variator,Front,4-5,Left wheel,Other,8,0,21326
5363,696.0,Mercedes-Benz,2013,Minivan,0,Diesel,2.2,167000,4.0,Manual,Rear,4-5,Left wheel,White,2,1,23521
5364,862.0,Hyundai,2011,Other,1,Diesel,2.5,237853,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,17054
5365,431.0,Hyundai,2016,Sedan,1,Hybrid,2.0,71218,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,5018
5366,934.0,Toyota,2015,Sedan,1,Petrol,2.5,82160,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,706
5368,394.0,Toyota,2014,Sedan,1,Hybrid,2.5,102397,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,784
5369,730.0,Other,2016,Jeep,1,Petrol,1.6,181997,4.0,Automatic,4x4,4-5,Left wheel,Black,0,0,2117
5371,642.0,Hyundai,2012,Sedan,1,Other,2.0,36545,4.0,Automatic,Front,4-5,Left wheel,White,4,0,8311
5374,640.0,Kia,2013,Sedan,1,Petrol,2.0,52448,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,8320
5375,1024.0,Ford,2010,Sedan,1,Hybrid,2.5,180973,4.0,Automatic,Front,4-5,Left wheel,Blue,0,0,12544
5376,400.0,Toyota,2018,Other,1,Hybrid,1.5,9942,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,45825
5378,1017.0,Mercedes-Benz,2017,Sedan,1,Petrol,2.0,1600,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,94
5379,1051.0,Hyundai,2016,Sedan,0,Petrol,2.4,60000,6.0,Tiptronic,Front,4-5,Left wheel,Black,8,0,21169
5383,753.0,Hyundai,2012,Sedan,1,Hybrid,2.4,93816,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,282
5385,584.0,Hyundai,2014,Sedan,0,Petrol,1.8,155360,4.0,Tiptronic,Front,4-5,Left wheel,Grey,6,0,17876
5386,1273.0,Toyota,2015,Sedan,1,Petrol,3.5,122418,6.0,Automatic,Front,4-5,Left wheel,Blue,12,0,6899
5387,1474.0,Other,2012,Sedan,1,Petrol,5.0,82925,8.0,Automatic,Rear,4-5,Left wheel,Other,12,0,314
5388,1058.0,Mercedes-Benz,2012,Coupe,1,Petrol,3.5,256958,6.0,Automatic,Rear,2-3,Left wheel,White,12,0,549
5389,1493.0,Toyota,2016,Jeep,1,Petrol,3.5,0,6.0,Automatic,Front,4-5,Left wheel,Silver,12,0,16935
5390,915.0,Bmw,2014,Jeep,1,Diesel,3.0,110715,6.0,Automatic,4x4,4-5,Left wheel,White,0,0,16621
5391,810.0,Other,2016,Sedan,1,Petrol,1.8,80000,4.0,Tiptronic,Front,4-5,Left wheel,White,14,1,29793
5394,779.0,Other,2013,Sedan,1,Petrol,2.5,306266,5.0,Automatic,4x4,4-5,Left wheel,White,12,0,314
5395,614.0,Other,2012,Sedan,1,Diesel,1.9,8100,4.0,Tiptronic,Front,4-5,Left wheel,Silver,0,1,18189
5396,595.0,Honda,2015,Hatchback,1,Petrol,1.5,131455,4.0,Automatic,Front,4-5,Left wheel,Blue,4,0,16960
5397,528.0,Hyundai,2014,Sedan,1,Diesel,1.6,83147,4.0,Automatic,Front,4-5,Left wheel,White,4,0,28830
5398,640.0,Bmw,2013,Sedan,1,Petrol,2.0,0,4.0,Automatic,Rear,4-5,Left wheel,Silver,12,0,627
5399,584.0,Hyundai,2014,Sedan,1,Petrol,1.8,110685,4.0,Automatic,Front,4-5,Left wheel,White,12,0,3763
5403,530.0,Ford,2013,Sedan,1,Petrol,1.6,129600,4.0,Tiptronic,Front,4-5,Left wheel,Other,12,0,20385
5404,781.0,Hyundai,2012,Minivan,1,Diesel,2.5,59304,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,14301
5405,749.0,Hyundai,2014,Sedan,1,Petrol,2.4,244266,4.0,Automatic,Front,4-5,Left wheel,Blue,12,0,2587
5406,640.0,Bmw,2013,Sedan,1,Petrol,2.0,140944,4.0,Automatic,4x4,4-5,Left wheel,Grey,12,0,706
5407,751.0,Kia,2013,Sedan,1,Petrol,2.4,71234,4.0,Tiptronic,Front,4-5,Left wheel,Black,12,0,19400
5408,891.0,Other,2016,Sedan,0,Petrol,2.0,96877,4.0,Automatic,Front,4-5,Left wheel,Black,8,0,13799
5409,777.0,Hyundai,2014,Minivan,1,Diesel,2.5,151854,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,30517
5410,707.0,Hyundai,2011,Jeep,1,Diesel,2.0,192085,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,18647
5413,1481.0,Ford,2006,Sedan,1,Petrol,2.0,240746,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,549
5414,1091.0,Toyota,2016,Jeep,1,Petrol,2.5,41019,4.0,Automatic,4x4,4-5,Left wheel,Silver,12,0,14897
5415,1017.0,Hyundai,2017,Sedan,0,Petrol,2.0,89000,4.0,Automatic,Front,4-5,Left wheel,Blue,6,0,20385
5416,1017.0,Hyundai,2017,Jeep,1,Diesel,2.0,169031,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,37125
5417,583.0,Hyundai,2011,Sedan,1,Petrol,1.6,124892,4.0,Automatic,Front,4-5,Left wheel,White,4,0,19384
5418,1273.0,Ssangyong,2009,Jeep,1,Diesel,2.7,163240,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,20532
5420,642.0,Hyundai,2012,Other,1,Petrol,2.0,156000,4.0,Automatic,Front,4-5,Left wheel,White,8,0,14740
5421,891.0,Hyundai,2016,Sedan,1,Other,2.0,301827,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,15530
5422,1211.0,Bmw,2010,Jeep,1,Petrol,3.0,171000,6.0,Tiptronic,4x4,4-5,Left wheel,Black,16,1,42337
5425,1347.0,Hyundai,2008,Minivan,1,Diesel,2.5,93042,4.0,Automatic,Front,4-5,Left wheel,Other,4,0,25089
5428,1324.0,Toyota,2010,Jeep,1,Hybrid,3.3,316912,6.0,Automatic,4x4,4-5,Left wheel,Blue,12,0,125
5430,697.0,Honda,2015,Sedan,1,Petrol,1.8,24696,4.0,Automatic,Front,4-5,Left wheel,Other,4,0,46866
5431,1292.0,Hyundai,2016,Sedan,1,Other,3.0,153616,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,26262
5432,1273.0,Mercedes-Benz,2015,Jeep,1,Diesel,3.5,79080,6.0,Automatic,4x4,4-5,Left wheel,Grey,12,0,22894
5433,781.0,Other,2012,Sedan,1,Petrol,2.5,85000,4.0,Tiptronic,Front,4-5,Left wheel,White,12,0,18503
5434,1017.0,Ford,2017,Sedan,0,Petrol,2.0,48000,4.0,Automatic,Front,4-5,Left wheel,Other,12,0,16308
5435,1104.0,Bmw,2015,Jeep,1,Diesel,3.0,201056,6.0,Automatic,4x4,4-5,Left wheel,Black,0,0,3607
5436,742.0,Honda,2008,Sedan,0,Hybrid,1.3,162123,4.0,Automatic,Front,4-5,Left wheel,Silver,8,0,5372
5439,645.0,Lexus,2011,Hatchback,1,Hybrid,1.8,32974,4.0,Automatic,Front,4-5,Left wheel,Silver,0,0,470
5442,790.0,Other,2009,Sedan,1,Petrol,1.6,164804,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,8097
5443,586.0,Lexus,2012,Hatchback,1,Hybrid,1.8,142394,4.0,Automatic,Front,4-5,Left wheel,White,0,0,627
5447,1268.0,Toyota,2012,Hatchback,1,Hybrid,1.5,122000,4.0,Variator,Front,4-5,Right-hand drive,Other,2,0,10663
5448,333.0,Ford,2014,Hatchback,0,Hybrid,2.0,44000,4.0,Variator,Front,4-5,Left wheel,Silver,8,0,18817
5450,1282.0,Chevrolet,2007,Jeep,1,Diesel,2.0,67435,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,6241
5453,1017.0,Ford,2017,Sedan,1,Petrol,2.0,100800,4.0,Tiptronic,Front,4-5,Left wheel,White,0,0,23521
5454,777.0,Other,2014,Jeep,1,Petrol,2.5,234781,4.0,Automatic,4x4,4-5,Left wheel,Black,0,0,282
5455,530.0,Hyundai,2013,Sedan,1,Petrol,1.6,48088,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,25591
5459,707.0,Hyundai,2011,Jeep,1,Diesel,2.0,184067,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,22357
5460,1185.0,Ford,2009,Jeep,1,Hybrid,2.5,143131,4.0,Automatic,Front,4-5,Left wheel,Silver,8,0,14113
5461,382.0,Honda,2017,Hatchback,1,Hybrid,1.5,110050,4.0,Automatic,Front,4-5,Left wheel,White,4,0,16750
5462,640.0,Bmw,2013,Sedan,1,Petrol,2.0,209027,4.0,Automatic,4x4,4-5,Left wheel,White,12,0,549
5464,642.0,Other,2012,Sedan,0,Petrol,2.0,65000,4.0,Automatic,Front,4-5,Left wheel,Grey,0,0,13485
5465,751.0,Hyundai,2013,Sedan,1,Hybrid,2.4,216208,4.0,Automatic,Front,4-5,Left wheel,Blue,0,0,1176
5469,528.0,Hyundai,2014,Sedan,1,Diesel,1.6,138598,4.0,Automatic,Front,4-5,Left wheel,White,4,0,20266
5474,1132.0,Toyota,2006,Hatchback,1,Hybrid,1.5,115000,4.0,Automatic,Front,4-5,Left wheel,Silver,12,0,12000
5478,1172.0,Mercedes-Benz,2011,Coupe,1,Diesel,3.5,226251,6.0,Automatic,Rear,2-3,Left wheel,Black,12,0,1568
5480,707.0,Hyundai,2011,Jeep,1,Diesel,2.0,129129,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,28780
5481,919.0,Mercedes-Benz,2012,Jeep,1,Diesel,3.0,209072,6.0,Automatic,4x4,4-5,Left wheel,Grey,12,0,220
5483,781.0,Toyota,2012,Sedan,1,Hybrid,2.5,314373,4.0,Automatic,Front,4-5,Left wheel,Grey,12,0,392
5484,777.0,Other,2014,Jeep,0,Petrol,2.5,127000,4.0,Variator,4x4,4-5,Left wheel,Black,12,0,19444
5487,1624.0,Mercedes-Benz,2009,Sedan,1,Diesel,3.5,266061,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,1411
5489,1624.0,Mercedes-Benz,2009,Sedan,1,Diesel,3.5,266061,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,314
5491,779.0,Toyota,2013,Sedan,0,Petrol,2.5,140328,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,17562
5492,843.0,Toyota,2008,Hatchback,1,Hybrid,1.5,137000,4.0,Variator,Front,4-5,Left wheel,Blue,12,0,13485
5494,862.0,Hyundai,2011,Minivan,1,Diesel,2.5,38283,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,29636
5495,836.0,Hyundai,2010,Sedan,1,Petrol,2.0,176635,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,13953
5497,934.0,Other,2015,Jeep,1,Petrol,2.5,48000,4.0,Automatic,Front,4-5,Left wheel,Grey,6,0,31361
5498,1228.0,Other,2007,Other,0,Diesel,1.9,222222,4.0,Manual,Front,4-5,Left wheel,Silver,8,0,7840
5500,308.0,Toyota,2014,Jeep,1,Hybrid,1.8,187334,4.0,Automatic,Front,4-5,Left wheel,White,12,0,188
5501,526.0,Kia,2009,Sedan,1,Petrol,1.0,90000,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,4391
5503,1399.0,Lexus,2010,Jeep,1,Hybrid,3.5,317470,6.0,Automatic,4x4,4-5,Left wheel,Grey,12,0,220
5505,1079.0,Toyota,2018,Jeep,1,Petrol,2.0,38712,4.0,Automatic,Front,4-5,Left wheel,White,12,0,10349
5506,431.0,Ford,2016,Sedan,1,Hybrid,2.0,194974,4.0,Automatic,Front,4-5,Left wheel,Black,0,0,8781
5508,753.0,Hyundai,2012,Sedan,1,Hybrid,2.4,128300,4.0,Tiptronic,Front,4-5,Left wheel,Other,8,0,17249
5510,1017.0,Mercedes-Benz,2017,Sedan,1,Diesel,2.0,26802,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,314
5512,394.0,Toyota,2014,Sedan,1,Hybrid,2.5,130478,4.0,Automatic,Front,4-5,Left wheel,White,12,0,862
5515,779.0,Ford,2013,Sedan,0,Petrol,2.5,71000,4.0,Automatic,Front,4-5,Left wheel,White,12,0,16308
5516,640.0,Hyundai,2013,Jeep,1,Diesel,2.0,144950,4.0,Automatic,Front,4-5,Left wheel,Grey,4,0,37232
5517,917.0,Mercedes-Benz,2013,Jeep,1,Diesel,3.0,114491,6.0,Automatic,4x4,4-5,Left wheel,White,12,0,23207
5518,707.0,Hyundai,2011,Sedan,1,Petrol,2.0,129085,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,17158
5519,640.0,Hyundai,2013,Sedan,1,Other,2.0,48595,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,9408
5520,639.0,Hyundai,2014,Jeep,1,Diesel,2.0,159124,4.0,Automatic,Front,4-5,Left wheel,White,4,0,37574
5521,687.0,Chevrolet,2010,Sedan,1,Petrol,1.6,47829,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,6209
5523,686.0,Chevrolet,2010,Sedan,1,Petrol,1.6,58221,4.0,Automatic,Front,4-5,Left wheel,Silver,4,0,5488
5524,891.0,Hyundai,2016,Sedan,1,Other,2.0,282099,4.0,Automatic,Front,4-5,Left wheel,White,4,0,19914
5525,753.0,Honda,2012,Jeep,0,Petrol,2.4,104852,4.0,Tiptronic,4x4,4-5,Left wheel,Silver,8,0,24775
5528,1053.0,Mercedes-Benz,2014,Sedan,1,Petrol,3.5,146395,6.0,Automatic,Rear,4-5,Left wheel,Grey,12,0,1882
5531,1017.0,Mercedes-Benz,2017,Sedan,1,Petrol,2.0,50930,4.0,Automatic,Rear,4-5,Left wheel,Black,12,0,22580
5532,770.0,Hyundai,2016,Jeep,1,Diesel,1.7,114435,4.0,Automatic,Front,4-5,Left wheel,White,4,0,35344
5535,394.0,Toyota,2014,Sedan,1,Hybrid,2.5,179381,4.0,Automatic,Front,4-5,Left wheel,Black,12,0,11133
5536,639.0,Chevrolet,2014,Sedan,1,Petrol,2.0,143293,4.0,Automatic,Front,4-5,Left wheel,Black,4,0,18500
5540,1058.0,Mercedes-Benz,2012,Sedan,1,Diesel,3.5,318285,6.0,Automatic,4x4,4-5,Left wheel,Black,12,0,627
